name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Superblood Wolfmoon,0.511,0.93,9,-5.173,1,0.0522,0.00556,0,0.403,0.881,153.376,audio_features,2PETsovNFRjQOSMWj8gNii,spotify:track:2PETsovNFRjQOSMWj8gNii,https://api.spotify.com/v1/tracks/2PETsovNFRjQOSMWj8gNii,https://api.spotify.com/v1/audio-analysis/2PETsovNFRjQOSMWj8gNii,229467,4
Sea Angel,0.192,0.233,2,-18.694,1,0.0325,0.963,0.846,0.0838,0.0363,104.19,audio_features,2ZC9pIlwUXquQDWRcsCtKp,spotify:track:2ZC9pIlwUXquQDWRcsCtKp,https://api.spotify.com/v1/tracks/2ZC9pIlwUXquQDWRcsCtKp,https://api.spotify.com/v1/audio-analysis/2ZC9pIlwUXquQDWRcsCtKp,208702,3
Bells And Bowls,0.165,0.191,0,-22.152,1,0.0893,0.0845,0.593,0.512,0.045,140.31,audio_features,71UCdDQmLAGy1is3CnfLwR,spotify:track:71UCdDQmLAGy1is3CnfLwR,https://api.spotify.com/v1/tracks/71UCdDQmLAGy1is3CnfLwR,https://api.spotify.com/v1/audio-analysis/71UCdDQmLAGy1is3CnfLwR,164364,3
Unwell - 2007 Remaster,0.442,0.793,9,-5.152,1,0.0347,0.0456,0,0.328,0.437,80.985,audio_features,66s45uMhk7Y4z0xUgESdm3,spotify:track:66s45uMhk7Y4z0xUgESdm3,https://api.spotify.com/v1/tracks/66s45uMhk7Y4z0xUgESdm3,https://api.spotify.com/v1/audio-analysis/66s45uMhk7Y4z0xUgESdm3,237267,4
Live-In Skin,0.492,0.97,2,-3.877,1,0.0616,3.71E-05,0,0.155,0.487,118.211,audio_features,6olSqj5lSv0Fy8iB0MUU5c,spotify:track:6olSqj5lSv0Fy8iB0MUU5c,https://api.spotify.com/v1/tracks/6olSqj5lSv0Fy8iB0MUU5c,https://api.spotify.com/v1/audio-analysis/6olSqj5lSv0Fy8iB0MUU5c,232720,4
Tú Sí Sabes Quererme (feat. Los Macorinos),0.664,0.46,1,-10.974,0,0.105,0.782,3.19E-06,0.176,0.793,170.057,audio_features,6p3yxt0uJJshAS3CT0znQg,spotify:track:6p3yxt0uJJshAS3CT0znQg,https://api.spotify.com/v1/tracks/6p3yxt0uJJshAS3CT0znQg,https://api.spotify.com/v1/audio-analysis/6p3yxt0uJJshAS3CT0znQg,244933,4
Fantasmas de Hielo,0.463,0.892,0,-4.733,1,0.0625,0.000453,0.00452,0.47,0.537,143.066,audio_features,0aTPIBhC4kgXjq4HKBCFuU,spotify:track:0aTPIBhC4kgXjq4HKBCFuU,https://api.spotify.com/v1/tracks/0aTPIBhC4kgXjq4HKBCFuU,https://api.spotify.com/v1/audio-analysis/0aTPIBhC4kgXjq4HKBCFuU,251925,4
Te Juro Que No,0.653,0.796,0,-7.451,1,0.0324,0.0496,0,0.198,0.809,120.009,audio_features,3K8WcIf7XEwIklaKi3G7md,spotify:track:3K8WcIf7XEwIklaKi3G7md,https://api.spotify.com/v1/tracks/3K8WcIf7XEwIklaKi3G7md,https://api.spotify.com/v1/audio-analysis/3K8WcIf7XEwIklaKi3G7md,208773,4
Serenity,0.422,0.0332,0,-24.949,1,0.0378,0.978,0.886,0.103,0.05,97.871,audio_features,3Rs7eZ7c0N5NwNvGBMD4Va,spotify:track:3Rs7eZ7c0N5NwNvGBMD4Va,https://api.spotify.com/v1/tracks/3Rs7eZ7c0N5NwNvGBMD4Va,https://api.spotify.com/v1/audio-analysis/3Rs7eZ7c0N5NwNvGBMD4Va,139593,4
Nymphetamine Fix,0.462,0.905,0,-3.825,0,0.0438,0.00066,0.0402,0.0839,0.253,122.925,audio_features,6WuqJLVZcyJklg7lIozAO8,spotify:track:6WuqJLVZcyJklg7lIozAO8,https://api.spotify.com/v1/tracks/6WuqJLVZcyJklg7lIozAO8,https://api.spotify.com/v1/audio-analysis/6WuqJLVZcyJklg7lIozAO8,302360,3
