name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Somos Coyotes,0.62,0.832,5,-5.526,0,0.0361,0.00106,3.24E-06,0.096,0.548,105.998,audio_features,0RGuPZmtJxMblQwZIvcNsQ,spotify:track:0RGuPZmtJxMblQwZIvcNsQ,https://api.spotify.com/v1/tracks/0RGuPZmtJxMblQwZIvcNsQ,https://api.spotify.com/v1/audio-analysis/0RGuPZmtJxMblQwZIvcNsQ,222185,4
Head & Heart (feat. MNEK),0.734,0.874,8,-3.158,1,0.0662,0.168,1.14E-05,0.0489,0.905,122.953,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028,4
John Travolta - Greased Lightnin',0.521,0.879,0,-9.269,1,0.0549,0.0605,0.289,0.138,0.934,158.582,audio_features,4S9RHp3Ge0xepqcixPQ6Fc,spotify:track:4S9RHp3Ge0xepqcixPQ6Fc,https://api.spotify.com/v1/tracks/4S9RHp3Ge0xepqcixPQ6Fc,https://api.spotify.com/v1/audio-analysis/4S9RHp3Ge0xepqcixPQ6Fc,196933,4
"Averno, el Fantasma",0.554,0.92,4,-5.278,0,0.0391,0.0453,0.0213,0.212,0.893,154.922,audio_features,5437hFrcf4td0gyxvuJB8d,spotify:track:5437hFrcf4td0gyxvuJB8d,https://api.spotify.com/v1/tracks/5437hFrcf4td0gyxvuJB8d,https://api.spotify.com/v1/audio-analysis/5437hFrcf4td0gyxvuJB8d,264827,4
Gamma Sinus 120 Hz - 170 Hz,0.148,0.0294,3,-30.99,1,0.0518,0.913,0.477,0.111,0.0399,139.067,audio_features,3qdY0cHqy1YsvwIBu691j4,spotify:track:3qdY0cHqy1YsvwIBu691j4,https://api.spotify.com/v1/tracks/3qdY0cHqy1YsvwIBu691j4,https://api.spotify.com/v1/audio-analysis/3qdY0cHqy1YsvwIBu691j4,208794,4
"Galaxie / Hello, Goodbye",0.459,0.556,0,-7.98,1,0.0348,0.194,0.000127,0.153,0.697,100.007,audio_features,7iggXRD8XULv2nw4NjkIjZ,spotify:track:7iggXRD8XULv2nw4NjkIjZ,https://api.spotify.com/v1/tracks/7iggXRD8XULv2nw4NjkIjZ,https://api.spotify.com/v1/audio-analysis/7iggXRD8XULv2nw4NjkIjZ,211000,4
Cherry Pie,0.472,0.946,2,-4.591,1,0.145,0.0372,0,0.352,0.486,177.489,audio_features,7LygtNjQ65PSdzVjUnHXQb,spotify:track:7LygtNjQ65PSdzVjUnHXQb,https://api.spotify.com/v1/tracks/7LygtNjQ65PSdzVjUnHXQb,https://api.spotify.com/v1/audio-analysis/7LygtNjQ65PSdzVjUnHXQb,201027,4
Truly Yours,0.348,0.0102,0,-37.244,1,0.0625,0.99,0.95,0.0985,0.0853,67.544,audio_features,0G1cg2Ezj39U7GI5K0A7ia,spotify:track:0G1cg2Ezj39U7GI5K0A7ia,https://api.spotify.com/v1/tracks/0G1cg2Ezj39U7GI5K0A7ia,https://api.spotify.com/v1/audio-analysis/0G1cg2Ezj39U7GI5K0A7ia,185775,4
Bodies,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,audio_features,7CpbhqKUedOIrcvc94p60Y,spotify:track:7CpbhqKUedOIrcvc94p60Y,https://api.spotify.com/v1/tracks/7CpbhqKUedOIrcvc94p60Y,https://api.spotify.com/v1/audio-analysis/7CpbhqKUedOIrcvc94p60Y,201960,4
Al Pasar,0.7,0.485,8,-8.93,1,0.0357,0.012,1.08E-05,0.1,0.962,132.215,audio_features,31T5cWFYgDSSo4uPQWc1Iy,spotify:track:31T5cWFYgDSSo4uPQWc1Iy,https://api.spotify.com/v1/tracks/31T5cWFYgDSSo4uPQWc1Iy,https://api.spotify.com/v1/audio-analysis/31T5cWFYgDSSo4uPQWc1Iy,206827,4
de facto,0.297,0.308,9,-17.614,0,0.0521,0.985,0.948,0.0801,0.307,185.655,audio_features,2KGcQD9b2UfI052FuhSKYX,spotify:track:2KGcQD9b2UfI052FuhSKYX,https://api.spotify.com/v1/tracks/2KGcQD9b2UfI052FuhSKYX,https://api.spotify.com/v1/audio-analysis/2KGcQD9b2UfI052FuhSKYX,210017,3
Panic - 2011 Remaster,0.53,0.861,7,-4.67,1,0.0372,0.0175,0.0177,0.0857,0.844,130.476,audio_features,64D3dzWyj0GpQT1AHx4kbK,spotify:track:64D3dzWyj0GpQT1AHx4kbK,https://api.spotify.com/v1/tracks/64D3dzWyj0GpQT1AHx4kbK,https://api.spotify.com/v1/audio-analysis/64D3dzWyj0GpQT1AHx4kbK,140507,4
Cloudology,0.158,0.0642,1,-25.666,1,0.0474,0.884,0.758,0.108,0.0576,107.432,audio_features,6NGbBlz6b95e6zDDSDvf8J,spotify:track:6NGbBlz6b95e6zDDSDvf8J,https://api.spotify.com/v1/tracks/6NGbBlz6b95e6zDDSDvf8J,https://api.spotify.com/v1/audio-analysis/6NGbBlz6b95e6zDDSDvf8J,187971,1
Propinquity,0.138,0.00738,5,-33.595,1,0.0426,0.969,0.768,0.11,0.0635,74.933,audio_features,333vuxsUus6GcCuaUv40fm,spotify:track:333vuxsUus6GcCuaUv40fm,https://api.spotify.com/v1/tracks/333vuxsUus6GcCuaUv40fm,https://api.spotify.com/v1/audio-analysis/333vuxsUus6GcCuaUv40fm,142500,4
Strict Machine,0.634,0.59,6,-7.66,1,0.0294,0.0248,0.16,0.112,0.45,125.998,audio_features,5kNbpvJ5b6R9Zqfm6c9sIX,spotify:track:5kNbpvJ5b6R9Zqfm6c9sIX,https://api.spotify.com/v1/tracks/5kNbpvJ5b6R9Zqfm6c9sIX,https://api.spotify.com/v1/audio-analysis/5kNbpvJ5b6R9Zqfm6c9sIX,231453,4
Ball Tongue,0.55,0.877,2,-6.942,1,0.111,0.0244,0.0838,0.112,0.445,106.226,audio_features,5pbfZdAP7xUu354ZQBhTS2,spotify:track:5pbfZdAP7xUu354ZQBhTS2,https://api.spotify.com/v1/tracks/5pbfZdAP7xUu354ZQBhTS2,https://api.spotify.com/v1/audio-analysis/5pbfZdAP7xUu354ZQBhTS2,268533,4
Sequoia,0.138,0.0201,5,-34.792,0,0.0352,0.972,0.847,0.146,0.0395,72.008,audio_features,52uw4LhiFFnIHduoLVILMm,spotify:track:52uw4LhiFFnIHduoLVILMm,https://api.spotify.com/v1/tracks/52uw4LhiFFnIHduoLVILMm,https://api.spotify.com/v1/audio-analysis/52uw4LhiFFnIHduoLVILMm,173381,4
Que Nadie Sepa Mi Sufrir,0.654,0.815,4,-5.231,0,0.0511,0.325,4.83E-05,0.153,0.897,104.042,audio_features,2YM0K9Xgqyy8hNcj5cPmTE,spotify:track:2YM0K9Xgqyy8hNcj5cPmTE,https://api.spotify.com/v1/tracks/2YM0K9Xgqyy8hNcj5cPmTE,https://api.spotify.com/v1/audio-analysis/2YM0K9Xgqyy8hNcj5cPmTE,244963,4
Would?,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36E-05,0.091,0.586,100.675,audio_features,5sFDReWLrZHLFZFjHsjUTS,spotify:track:5sFDReWLrZHLFZFjHsjUTS,https://api.spotify.com/v1/tracks/5sFDReWLrZHLFZFjHsjUTS,https://api.spotify.com/v1/audio-analysis/5sFDReWLrZHLFZFjHsjUTS,206773,4
Miracle,0.624,0.824,6,-5.501,1,0.0445,0.0167,0.00029,0.138,0.366,97.012,audio_features,6uJwPeBGb3swi85TSr9iIz,spotify:track:6uJwPeBGb3swi85TSr9iIz,https://api.spotify.com/v1/tracks/6uJwPeBGb3swi85TSr9iIz,https://api.spotify.com/v1/audio-analysis/6uJwPeBGb3swi85TSr9iIz,276907,4
The Less I Know The Better,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4
La Bolsa,0.549,0.961,0,-2.493,1,0.108,0.0802,0,0.291,0.708,170.216,audio_features,0C3PenkD2aq1IdDFkJcA0x,spotify:track:0C3PenkD2aq1IdDFkJcA0x,https://api.spotify.com/v1/tracks/0C3PenkD2aq1IdDFkJcA0x,https://api.spotify.com/v1/audio-analysis/0C3PenkD2aq1IdDFkJcA0x,212867,4
Mátenme Porque Me Muero - Versión Sinfónico [En Vivo],0.461,0.879,11,-7.601,0,0.0571,0.00622,5.41E-05,0.701,0.471,158.024,audio_features,6Xftt5a5IPj9XhFvzjsCXS,spotify:track:6Xftt5a5IPj9XhFvzjsCXS,https://api.spotify.com/v1/tracks/6Xftt5a5IPj9XhFvzjsCXS,https://api.spotify.com/v1/audio-analysis/6Xftt5a5IPj9XhFvzjsCXS,302293,4
Roadhouse Blues,0.623,0.633,9,-8.212,1,0.0304,0.336,4.6E-05,0.147,0.895,121.119,audio_features,1Q5kgpp4pmyGqPwNBzkSrw,spotify:track:1Q5kgpp4pmyGqPwNBzkSrw,https://api.spotify.com/v1/tracks/1Q5kgpp4pmyGqPwNBzkSrw,https://api.spotify.com/v1/audio-analysis/1Q5kgpp4pmyGqPwNBzkSrw,243827,4
Divine,0.176,0.134,10,-23.973,1,0.0405,0.959,0.977,0.0995,0.0546,86.705,audio_features,49WYvbLAlLn9e663fBmCUl,spotify:track:49WYvbLAlLn9e663fBmCUl,https://api.spotify.com/v1/tracks/49WYvbLAlLn9e663fBmCUl,https://api.spotify.com/v1/audio-analysis/49WYvbLAlLn9e663fBmCUl,289804,4
Fjorgyn's Touch,0.14,1,9,-13.076,0,0.161,0.397,0.576,0.768,1E-05,88.094,audio_features,5V6Vd53pmvD2xhVBryQZ15,spotify:track:5V6Vd53pmvD2xhVBryQZ15,https://api.spotify.com/v1/tracks/5V6Vd53pmvD2xhVBryQZ15,https://api.spotify.com/v1/audio-analysis/5V6Vd53pmvD2xhVBryQZ15,107715,4
Halley's Comet,0.403,0.159,1,-16.728,0,0.104,0.961,0.0121,0.34,0.0381,72.38,audio_features,5XsAal7ZcWg1I5T4NcRjkv,spotify:track:5XsAal7ZcWg1I5T4NcRjkv,https://api.spotify.com/v1/tracks/5XsAal7ZcWg1I5T4NcRjkv,https://api.spotify.com/v1/audio-analysis/5XsAal7ZcWg1I5T4NcRjkv,234761,4
Hey Buddy,0.768,0.887,4,-3.843,0,0.11,0.0284,0,0.23,0.54,115.95,audio_features,1hd8IgMElWy3OqcFVjZMUx,spotify:track:1hd8IgMElWy3OqcFVjZMUx,https://api.spotify.com/v1/tracks/1hd8IgMElWy3OqcFVjZMUx,https://api.spotify.com/v1/audio-analysis/1hd8IgMElWy3OqcFVjZMUx,198240,4
Baile De Los Pobres,0.686,0.84,11,-6.265,0,0.164,0.138,2.35E-06,0.133,0.492,179.939,audio_features,6sKKGGCuMDKiP9HProsMah,spotify:track:6sKKGGCuMDKiP9HProsMah,https://api.spotify.com/v1/tracks/6sKKGGCuMDKiP9HProsMah,https://api.spotify.com/v1/audio-analysis/6sKKGGCuMDKiP9HProsMah,207987,4
Todo Lo Que Quiero - (En Vivo),0.46,0.86,7,-9.148,1,0.134,0.144,0.0112,0.524,0.514,138.097,audio_features,5U2MWuuFUY7Ux8w0EhFqTQ,spotify:track:5U2MWuuFUY7Ux8w0EhFqTQ,https://api.spotify.com/v1/tracks/5U2MWuuFUY7Ux8w0EhFqTQ,https://api.spotify.com/v1/audio-analysis/5U2MWuuFUY7Ux8w0EhFqTQ,200838,4
Non Stop Rain Sounds,0.177,0.486,5,-26.779,1,0.0583,0.143,0.974,0.431,0.0277,82.37,audio_features,1cgb4yVuDdTfaatFq6xhgD,spotify:track:1cgb4yVuDdTfaatFq6xhgD,https://api.spotify.com/v1/tracks/1cgb4yVuDdTfaatFq6xhgD,https://api.spotify.com/v1/audio-analysis/1cgb4yVuDdTfaatFq6xhgD,182044,3
Wading in dreams,0.155,0.0515,10,-26.058,1,0.0434,0.974,0.952,0.106,0.0371,71.405,audio_features,0MAXHRBvH3yjPrmaIk0ela,spotify:track:0MAXHRBvH3yjPrmaIk0ela,https://api.spotify.com/v1/tracks/0MAXHRBvH3yjPrmaIk0ela,https://api.spotify.com/v1/audio-analysis/0MAXHRBvH3yjPrmaIk0ela,111522,3
Burndt Jamb,0.591,0.666,11,-8.062,0,0.0463,0.0012,0.000686,0.088,0.451,97.696,audio_features,1ytYTPuKbW0NIXb2kgmSVq,spotify:track:1ytYTPuKbW0NIXb2kgmSVq,https://api.spotify.com/v1/tracks/1ytYTPuKbW0NIXb2kgmSVq,https://api.spotify.com/v1/audio-analysis/1ytYTPuKbW0NIXb2kgmSVq,158592,4
Organismo Ambient,0.366,0.00457,0,-33.161,0,0.046,0.942,0.948,0.0935,0.045,124.011,audio_features,69pQPXOGwCgH0NBu89cRji,spotify:track:69pQPXOGwCgH0NBu89cRji,https://api.spotify.com/v1/tracks/69pQPXOGwCgH0NBu89cRji,https://api.spotify.com/v1/audio-analysis/69pQPXOGwCgH0NBu89cRji,161750,4
Dying Breed,0.656,0.78,1,-4.743,1,0.0854,0.00112,0.02,0.151,0.607,151.401,audio_features,0SieiDcGvj8cZ0K4hcT3Zd,spotify:track:0SieiDcGvj8cZ0K4hcT3Zd,https://api.spotify.com/v1/tracks/0SieiDcGvj8cZ0K4hcT3Zd,https://api.spotify.com/v1/audio-analysis/0SieiDcGvj8cZ0K4hcT3Zd,246000,4
Bizarre Love Triangle,0.613,0.885,10,-7.463,1,0.052,0.0804,0.746,0.0997,0.919,118.506,audio_features,6wVViUl2xSRoDK2T7dMZbR,spotify:track:6wVViUl2xSRoDK2T7dMZbR,https://api.spotify.com/v1/tracks/6wVViUl2xSRoDK2T7dMZbR,https://api.spotify.com/v1/audio-analysis/6wVViUl2xSRoDK2T7dMZbR,263213,4
Public Image - Remastered,0.281,0.782,4,-10.089,1,0.0509,0.000137,0.461,0.689,0.638,155.089,audio_features,5IN2qOuRqPJoMNtsWwoztX,spotify:track:5IN2qOuRqPJoMNtsWwoztX,https://api.spotify.com/v1/tracks/5IN2qOuRqPJoMNtsWwoztX,https://api.spotify.com/v1/audio-analysis/5IN2qOuRqPJoMNtsWwoztX,181440,4
Team,0.69,0.578,6,-7.436,1,0.0929,0.167,0,0.305,0.416,99.961,audio_features,3G6hD9B2ZHOsgf4WfNu7X1,spotify:track:3G6hD9B2ZHOsgf4WfNu7X1,https://api.spotify.com/v1/tracks/3G6hD9B2ZHOsgf4WfNu7X1,https://api.spotify.com/v1/audio-analysis/3G6hD9B2ZHOsgf4WfNu7X1,193059,4
Lucid Dreams,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,audio_features,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,239836,4
Winning Days,0.436,0.624,0,-4.989,1,0.0297,0.0271,5.53E-06,0.167,0.307,105.997,audio_features,0MuzI01UVSuk3FfTkAGtZV,spotify:track:0MuzI01UVSuk3FfTkAGtZV,https://api.spotify.com/v1/tracks/0MuzI01UVSuk3FfTkAGtZV,https://api.spotify.com/v1/audio-analysis/0MuzI01UVSuk3FfTkAGtZV,213547,4
Sueles Dejarme Solo - Remasterizado 2007,0.409,0.71,9,-6.686,1,0.0293,0.000293,0.51,0.0827,0.274,153.638,audio_features,51M33m6vHnkJ9SJPES3Lu4,spotify:track:51M33m6vHnkJ9SJPES3Lu4,https://api.spotify.com/v1/tracks/51M33m6vHnkJ9SJPES3Lu4,https://api.spotify.com/v1/audio-analysis/51M33m6vHnkJ9SJPES3Lu4,226920,4
Light Up,0.0891,0.976,6,-22.189,1,0.0674,0.242,0.945,0.919,1E-05,86.991,audio_features,7bnY0z3DPNHk3gfhLvAuvx,spotify:track:7bnY0z3DPNHk3gfhLvAuvx,https://api.spotify.com/v1/tracks/7bnY0z3DPNHk3gfhLvAuvx,https://api.spotify.com/v1/audio-analysis/7bnY0z3DPNHk3gfhLvAuvx,208000,3
zomerochtend,0.0624,0.0343,4,-30.177,1,0.0433,0.979,0.966,0.0923,0.0672,66.241,audio_features,3cYVVPJoyBsDdr5v4GR5wZ,spotify:track:3cYVVPJoyBsDdr5v4GR5wZ,https://api.spotify.com/v1/tracks/3cYVVPJoyBsDdr5v4GR5wZ,https://api.spotify.com/v1/audio-analysis/3cYVVPJoyBsDdr5v4GR5wZ,220000,4
Bendecida,0.802,0.644,9,-4.452,0,0.0312,0.342,0,0.103,0.866,95.991,audio_features,5qFO4vlG88RGZ0SpuXMikl,spotify:track:5qFO4vlG88RGZ0SpuXMikl,https://api.spotify.com/v1/tracks/5qFO4vlG88RGZ0SpuXMikl,https://api.spotify.com/v1/audio-analysis/5qFO4vlG88RGZ0SpuXMikl,190230,4
Separated,0.0672,0.0115,0,-30.287,1,0.0452,0.987,0.904,0.1,0.0358,75.441,audio_features,24Q4s34r5lTO9bCkdZnNaO,spotify:track:24Q4s34r5lTO9bCkdZnNaO,https://api.spotify.com/v1/tracks/24Q4s34r5lTO9bCkdZnNaO,https://api.spotify.com/v1/audio-analysis/24Q4s34r5lTO9bCkdZnNaO,157497,3
"Viernes, 3AM",0.469,0.33,0,-10.736,1,0.0296,0.719,7.27E-06,0.0434,0.266,101.07,audio_features,6zjME4Vo9ze9Uk4t9kUMJZ,spotify:track:6zjME4Vo9ze9Uk4t9kUMJZ,https://api.spotify.com/v1/tracks/6zjME4Vo9ze9Uk4t9kUMJZ,https://api.spotify.com/v1/audio-analysis/6zjME4Vo9ze9Uk4t9kUMJZ,265312,4
Been Raining For Hours,0.224,0.969,6,-29.375,1,0.138,0.0914,0.977,0.747,0.0183,84.718,audio_features,7iZHDQwbapPo9MYf3KLSG0,spotify:track:7iZHDQwbapPo9MYf3KLSG0,https://api.spotify.com/v1/tracks/7iZHDQwbapPo9MYf3KLSG0,https://api.spotify.com/v1/audio-analysis/7iZHDQwbapPo9MYf3KLSG0,208125,4
Buick a Monterrey,0.5,0.965,6,-4.889,1,0.0545,0.00114,0.623,0.23,0.833,167.937,audio_features,5NeUGo11XLcFN3paCvECUV,spotify:track:5NeUGo11XLcFN3paCvECUV,https://api.spotify.com/v1/tracks/5NeUGo11XLcFN3paCvECUV,https://api.spotify.com/v1/audio-analysis/5NeUGo11XLcFN3paCvECUV,179533,4
Lo/Hi,0.421,0.433,7,-7.683,1,0.194,0.676,0.00393,0.111,0.307,91.042,audio_features,5HT7sdhkOCFVegIoMOL7yj,spotify:track:5HT7sdhkOCFVegIoMOL7yj,https://api.spotify.com/v1/tracks/5HT7sdhkOCFVegIoMOL7yj,https://api.spotify.com/v1/audio-analysis/5HT7sdhkOCFVegIoMOL7yj,186730,4
Quisieras,0.519,0.701,0,-10.116,1,0.0304,0.000184,2.54E-05,0.0736,0.769,135.002,audio_features,5sxaKBXGBaGPR4PE8NhrsI,spotify:track:5sxaKBXGBaGPR4PE8NhrsI,https://api.spotify.com/v1/tracks/5sxaKBXGBaGPR4PE8NhrsI,https://api.spotify.com/v1/audio-analysis/5sxaKBXGBaGPR4PE8NhrsI,279680,4
Vihara,0.0958,0.116,5,-22.47,1,0.0426,0.989,0.817,0.0914,0.0346,82.144,audio_features,4NIjPBz8dPRwMzg9nK7Yrp,spotify:track:4NIjPBz8dPRwMzg9nK7Yrp,https://api.spotify.com/v1/tracks/4NIjPBz8dPRwMzg9nK7Yrp,https://api.spotify.com/v1/audio-analysis/4NIjPBz8dPRwMzg9nK7Yrp,356000,4
No Seas Tan Cruel,0.818,0.508,1,-13.501,1,0.0438,0.433,0.000297,0.0864,0.947,143.778,audio_features,4X1MR2Ny2pfNRDftM3Uxr7,spotify:track:4X1MR2Ny2pfNRDftM3Uxr7,https://api.spotify.com/v1/tracks/4X1MR2Ny2pfNRDftM3Uxr7,https://api.spotify.com/v1/audio-analysis/4X1MR2Ny2pfNRDftM3Uxr7,159813,4
Dar Es Dar,0.654,0.869,9,-8.333,1,0.0864,0.509,0,0.948,0.435,110.632,audio_features,58tnDTHguRpHhoe6Ft6B83,spotify:track:58tnDTHguRpHhoe6Ft6B83,https://api.spotify.com/v1/tracks/58tnDTHguRpHhoe6Ft6B83,https://api.spotify.com/v1/audio-analysis/58tnDTHguRpHhoe6Ft6B83,188093,4
Spring Birds In The Afternoon,0.329,0.387,11,-34.396,0,0.449,0.279,0.898,0.394,0.04,87.452,audio_features,70ZhYH2joI9RCE45TG52sS,spotify:track:70ZhYH2joI9RCE45TG52sS,https://api.spotify.com/v1/tracks/70ZhYH2joI9RCE45TG52sS,https://api.spotify.com/v1/audio-analysis/70ZhYH2joI9RCE45TG52sS,133093,4
Trágame Tierra,0.654,0.667,6,-8.021,0,0.0408,0.00914,0.704,0.0565,0.731,122.986,audio_features,25w814wNZ7B0XoVBV5miTs,spotify:track:25w814wNZ7B0XoVBV5miTs,https://api.spotify.com/v1/tracks/25w814wNZ7B0XoVBV5miTs,https://api.spotify.com/v1/audio-analysis/25w814wNZ7B0XoVBV5miTs,326040,4
My Name Is Jonas,0.295,0.94,11,-5.247,1,0.0449,0.00021,0.00106,0.276,0.58,186.186,audio_features,4nzyOwogJuWn1s6QuGFZ6w,spotify:track:4nzyOwogJuWn1s6QuGFZ6w,https://api.spotify.com/v1/tracks/4nzyOwogJuWn1s6QuGFZ6w,https://api.spotify.com/v1/audio-analysis/4nzyOwogJuWn1s6QuGFZ6w,204293,3
Tutu,0.731,0.832,9,-2.592,1,0.0503,0.273,0,0.0665,0.94,146.013,audio_features,1nocRtwyNPVtGcIJqfgdzZ,spotify:track:1nocRtwyNPVtGcIJqfgdzZ,https://api.spotify.com/v1/tracks/1nocRtwyNPVtGcIJqfgdzZ,https://api.spotify.com/v1/audio-analysis/1nocRtwyNPVtGcIJqfgdzZ,178613,4
Botas Negras,0.566,0.719,0,-8.674,1,0.0406,0.323,0,0.203,0.667,126.114,audio_features,33gx6JR9By6ahTupIh2kCT,spotify:track:33gx6JR9By6ahTupIh2kCT,https://api.spotify.com/v1/tracks/33gx6JR9By6ahTupIh2kCT,https://api.spotify.com/v1/audio-analysis/33gx6JR9By6ahTupIh2kCT,343827,4
Everything In Its Right Place,0.296,0.463,5,-11.412,0,0.0449,0.705,0.0482,0.0954,0.0629,123.943,audio_features,2kRFrWaLWiKq48YYVdGcm8,spotify:track:2kRFrWaLWiKq48YYVdGcm8,https://api.spotify.com/v1/tracks/2kRFrWaLWiKq48YYVdGcm8,https://api.spotify.com/v1/audio-analysis/2kRFrWaLWiKq48YYVdGcm8,251427,5
Desterrado,0.284,0.909,9,-3.722,0,0.0498,0.00332,0.0069,0.362,0.451,107.152,audio_features,2XbbFroox2O5I6wdMmCs87,spotify:track:2XbbFroox2O5I6wdMmCs87,https://api.spotify.com/v1/tracks/2XbbFroox2O5I6wdMmCs87,https://api.spotify.com/v1/audio-analysis/2XbbFroox2O5I6wdMmCs87,460360,4
The Open Road,0.67,0.408,7,-14.653,1,0.0346,0.848,8.4E-05,0.109,0.693,109.946,audio_features,34v1NtHTE8i9OFftsGBMGo,spotify:track:34v1NtHTE8i9OFftsGBMGo,https://api.spotify.com/v1/tracks/34v1NtHTE8i9OFftsGBMGo,https://api.spotify.com/v1/audio-analysis/34v1NtHTE8i9OFftsGBMGo,200133,4
Ravenheart,0.266,0.813,5,-5.536,1,0.0659,0.0347,0,0.108,0.208,103.712,audio_features,1ZiH8O9Y25AjxM4a25KNzn,spotify:track:1ZiH8O9Y25AjxM4a25KNzn,https://api.spotify.com/v1/tracks/1ZiH8O9Y25AjxM4a25KNzn,https://api.spotify.com/v1/audio-analysis/1ZiH8O9Y25AjxM4a25KNzn,224973,4
Black,0.36,0.684,4,-6.457,0,0.0308,0.323,0,0.34,0.2,77.15,audio_features,5Xak5fmy089t0FYmh3VJiY,spotify:track:5Xak5fmy089t0FYmh3VJiY,https://api.spotify.com/v1/tracks/5Xak5fmy089t0FYmh3VJiY,https://api.spotify.com/v1/audio-analysis/5Xak5fmy089t0FYmh3VJiY,342653,4
Behind Blue Eyes,0.594,0.504,7,-6.634,1,0.0268,0.496,0,0.123,0.0929,120.342,audio_features,5gf8QDoBCdKD4qEQ3s0mAb,spotify:track:5gf8QDoBCdKD4qEQ3s0mAb,https://api.spotify.com/v1/tracks/5gf8QDoBCdKD4qEQ3s0mAb,https://api.spotify.com/v1/audio-analysis/5gf8QDoBCdKD4qEQ3s0mAb,269973,4
Shimmer in the Morning,0.204,0.0308,7,-29.613,1,0.0483,0.975,0.966,0.102,0.0367,35.862,audio_features,0oZcBTfv9wd9Oh2JBicCmz,spotify:track:0oZcBTfv9wd9Oh2JBicCmz,https://api.spotify.com/v1/tracks/0oZcBTfv9wd9Oh2JBicCmz,https://api.spotify.com/v1/audio-analysis/0oZcBTfv9wd9Oh2JBicCmz,126097,3
The World Has Turned And Left Me Here,0.455,0.918,6,-5.724,1,0.0352,0.000399,0.0134,0.323,0.56,99.078,audio_features,06isZAG9Bgm4jhPj7V0Rhx,spotify:track:06isZAG9Bgm4jhPj7V0Rhx,https://api.spotify.com/v1/tracks/06isZAG9Bgm4jhPj7V0Rhx,https://api.spotify.com/v1/audio-analysis/06isZAG9Bgm4jhPj7V0Rhx,259467,4
Glorious Day,0.49,0.805,2,-4.578,1,0.0424,0.00289,3.19E-06,0.141,0.166,109.951,audio_features,3QhL4eWBVv64IycG3i9XTb,spotify:track:3QhL4eWBVv64IycG3i9XTb,https://api.spotify.com/v1/tracks/3QhL4eWBVv64IycG3i9XTb,https://api.spotify.com/v1/audio-analysis/3QhL4eWBVv64IycG3i9XTb,298520,4
Perro del Deseo,0.569,0.526,4,-7.06,0,0.0346,0.27,0,0.0781,0.451,105.871,audio_features,5aKFudjStnVMOqvv1E8Upp,spotify:track:5aKFudjStnVMOqvv1E8Upp,https://api.spotify.com/v1/tracks/5aKFudjStnVMOqvv1E8Upp,https://api.spotify.com/v1/audio-analysis/5aKFudjStnVMOqvv1E8Upp,213123,4
Superunknown,0.291,0.949,0,-3.619,1,0.0574,5.85E-05,0.233,0.856,0.296,133.93,audio_features,7GwrtGLmY02SKSil0kH0rH,spotify:track:7GwrtGLmY02SKSil0kH0rH,https://api.spotify.com/v1/tracks/7GwrtGLmY02SKSil0kH0rH,https://api.spotify.com/v1/audio-analysis/7GwrtGLmY02SKSil0kH0rH,306920,4
Solo Para Mi,0.676,0.705,2,-6.873,0,0.027,0.159,0.799,0.0949,0.91,117.008,audio_features,66K1PimYBDgqdTEkyALDlo,spotify:track:66K1PimYBDgqdTEkyALDlo,https://api.spotify.com/v1/tracks/66K1PimYBDgqdTEkyALDlo,https://api.spotify.com/v1/audio-analysis/66K1PimYBDgqdTEkyALDlo,209587,4
Algo Es Mejor,0.671,0.571,2,-9.988,1,0.0379,0.719,0.000159,0.203,0.715,139.965,audio_features,2KuqOQdLea52Us5XWcmMdp,spotify:track:2KuqOQdLea52Us5XWcmMdp,https://api.spotify.com/v1/tracks/2KuqOQdLea52Us5XWcmMdp,https://api.spotify.com/v1/audio-analysis/2KuqOQdLea52Us5XWcmMdp,241000,4
